cc,lon,lat,status,place,unit,unit_share,why,reviewed
ye,43.78798,13.84637,unreviewed,Shar'ab Ar Rawnah district,YE15,0.015,"2 hexes, 2 at the cap. peak 12.2 km from Village of ALAMRAH (GeoNames 4,500); 0.27x the district's 229,204 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.15618,14.83068,unreviewed,Al Marawi'ah district,YE18,0.015,"2 hexes, 1 at the cap. peak 21.3 km from Al Hudaydah (GeoNames 734,699); 0.23x the district's 241,756 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,44.09719,14.10203,unreviewed,Hobeish district,YE11,0.015,"3 hexes, 1 at the cap. peak 19.3 km from Ibb (GeoNames 771,514); 0.36x the district's 162,023 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.77407,13.85348,unreviewed,Shar'ab Ar Rawnah district,YE15,0.015,"2 hexes, 2 at the cap. peak 12.5 km from Village of ALAMRAH (GeoNames 4,500); 0.27x the district's 229,204 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,44.14840,13.92113,unreviewed,Jiblah district,YE11,0.015,"2 hexes, 1 at the cap. peak 5.8 km from Ibb (GeoNames 771,514); 0.33x the district's 177,838 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,44.01636,14.50261,unreviewed,Otmah district,YE20,0.014,"1 hexes, 1 at the cap. peak 24.7 km from Al-Medy Village, qryt almdy (GeoNames 2,000); 0.12x the district's 265,052 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,44.17409,14.08672,unreviewed,Al Makhadir district,YE11,0.014,"3 hexes, 1 at the cap. peak 13.7 km from Ibb (GeoNames 771,514); 0.32x the district's 169,416 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.64239,14.25456,unreviewed,Wusab As Safil district,YE20,0.014,"1 hexes, 1 at the cap. peak 20.8 km from Al-Medy Village, qryt almdy (GeoNames 2,000); 0.11x the district's 291,260 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.50300,15.66447,unreviewed,Ash Shaghadirah district,YE17,0.013,"1 hexes, 1 at the cap. peak 10.9 km from Hajjah (GeoNames 43,549); 0.38x the district's 84,429 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.19235,15.98280,unreviewed,Abs district,YE17,0.013,"1 hexes, 1 at the cap. peak 1.2 km from Al Batil (GeoNames 80); 0.09x the district's 360,137 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.40172,16.32203,unreviewed,Washhah district,YE17,0.013,"1 hexes, 1 at the cap. peak 0.2 km from Ad Dakhil (GeoNames 1); 0.31x the district's 104,630 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.41026,16.38405,unreviewed,Washhah district,YE17,0.013,"1 hexes, 1 at the cap. peak 0.3 km from Ath Thahirah (GeoNames 10); 0.31x the district's 104,630 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.50939,15.62811,unreviewed,Ash Shaghadirah district,YE17,0.013,"1 hexes, 1 at the cap. peak 10.8 km from Bani al `Awwam (GeoNames 41); 0.38x the district's 84,429 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,44.27790,13.31202,unreviewed,Hayfan district,YE15,0.012,"2 hexes, 1 at the cap. peak 17.3 km from Najd Al Athayeb (GeoNames 50); 0.43x the district's 113,981 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.20765,14.90279,unreviewed,Al Marawi'ah district,YE18,0.011,"2 hexes, 1 at the cap. peak 18.0 km from Bajil (GeoNames 48,218); 0.18x the district's 241,756 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.79952,13.74308,unreviewed,Shar'ab Ar Rawnah district,YE15,0.011,"2 hexes, 1 at the cap. peak 7.5 km from Village of ALAMRAH (GeoNames 4,500); 0.20x the district's 229,204 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.47946,13.93074,unreviewed,Hays district,YE18,0.008,"1 hexes, 1 at the cap. peak 37.2 km from Village of ALAMRAH (GeoNames 4,500); 0.39x the district's 80,635 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,44.17364,14.07068,unreviewed,Al Makhadir district,YE11,0.008,"1 hexes, 1 at the cap. peak 11.9 km from Ibb (GeoNames 771,514); 0.18x the district's 169,416 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.79991,13.75910,unreviewed,Shar'ab Ar Rawnah district,YE15,0.007,"1 hexes, 1 at the cap. peak 7.5 km from Village of ALAMRAH (GeoNames 4,500); 0.14x the district's 229,204 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,44.19547,13.35428,unreviewed,As Silw district,YE15,0.007,"1 hexes, 1 at the cap. peak 23.4 km from Adh Dhunbub (GeoNames 1); 0.45x the district's 67,622 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.99713,13.51241,unreviewed,Al Misrakh district,YE15,0.007,"1 hexes, 1 at the cap. peak 7.5 km from Taiz (GeoNames 940,600); 0.24x the district's 128,572 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ye,43.25975,15.36948,unreviewed,Melhan district,YE18,0.006,"2 hexes, 1 at the cap. peak 24.4 km from Ad Danifah aldnft (GeoNames 450); 0.37x the district's 147,572 (Task Force 2025); under 5% of its unit, so not acted on",2026-09-14 d743fc47-ye
ma,-5.83216,35.73651,real,"Tangier, city centre",MA010006,0.631,"33 hexes, 8 at the cap; Tangier commune counts 1,275,428 of the prefecture's 1,494,413 (RGPH 2024)",2026-09-15 d743fc47-ma
ma,-7.47912,33.58039,real,"Casablanca, eastern districts",MA002005,0.598,"80 hexes, 26 at the cap; the prefecture counts 3,218,036 on 215 km2",2026-09-15 d743fc47-ma
ma,-5.35049,35.57729,real,Tétouan,MA010008,0.505,"14 hexes, 1 at the cap; Tétouan commune counts 422,757 of the province's 611,928",2026-09-15 d743fc47-ma
ma,-7.97918,31.61997,real,"Marrakech, medina and Daoudiate",MA006004,0.338,"21 hexes, 12 at the cap; the city is most of the prefecture's 1,571,580",2026-09-15 d743fc47-ma
ma,-6.81552,33.98176,real,Rabat,MA008002,0.275,"7 hexes, 1 at the cap; the prefecture counts 515,619 on 113 km2",2026-09-15 d743fc47-ma
ma,-4.95010,34.05768,real,"Fès, medina",MA004001,0.228,"9 hexes, 8 at the cap; Fès el-Bali; the prefecture counts 1,256,172 on 311 km2",2026-09-15 d743fc47-ma
ma,-13.05443,27.05930,capped,"Laâyoune, 17 km east-south-east of the centre",EH03,0.226,"2 hexes, 1 at the cap, 53,921 people in open desert; Laâyoune's centre is near 27.15N 13.20W",2026-09-15 d743fc47-ma
ma,-4.96626,34.01366,real,"Fès, southern districts",MA004001,0.150,"8 hexes, 1 at the cap",2026-09-15 d743fc47-ma
ma,-6.76550,34.01602,real,Salé,MA008003,0.138,"6 hexes, 1 at the cap; the prefecture counts 1,089,554 on 714 km2",2026-09-15 d743fc47-ma
ma,-6.32111,33.88901,real,Tiflet,MA008005,0.135,"3 hexes, 1 at the cap; the province's second town, 24 km west of Khémisset",2026-09-15 d743fc47-ma
ma,-6.73684,33.99852,real,"Salé, southern districts",MA008003,0.116,"5 hexes, 2 at the cap",2026-09-15 d743fc47-ma
ma,-8.05908,31.57137,real,"Marrakech, M'Hamid",MA006004,0.099,"6 hexes, 2 at the cap",2026-09-15 d743fc47-ma
ma,-7.63900,33.56866,real,"Casablanca, Derb Sultan and Hay Hassani",MA002005,0.083,"9 hexes, 5 at the cap",2026-09-15 d743fc47-ma
ma,-5.78888,35.70969,real,"Tangier, southern districts",MA010006,0.027,1 hex at the cap,2026-09-15 d743fc47-ma
sd,24.09980,13.65869,capped,"North Darfur, Kabkabiyah",SD02,0.163,"19 hexes, 14 at the cap, 633,115 people, 16.3% of the state; 2 km from Kabkabiyah, GeoNames population 42,376; the block holds 14.9x it; no Sudanese city Kontur draws densely reaches the cap (Khartoum, Port Sudan, Nyala and El Obeid have no block), sources/sd.md section 6",2026-09-15 cb8b206e-sd
sd,25.15629,10.84934,capped,"South Darfur, Buram",SD03,0.086,"16 hexes, 6 at the cap, 453,732 people, 8.6% of the state; 1 km from Buram, GeoNames population 65,473; the block holds 6.9x it; no Sudanese city Kontur draws densely reaches the cap (Khartoum, Port Sudan, Nyala and El Obeid have no block), sources/sd.md section 6",2026-09-15 cb8b206e-sd
sd,36.06584,17.53914,capped,"Red Sea, Derudeb",SD10,0.074,"6 hexes, 5 at the cap, 209,728 people, 7.4% of the state; nearest GeoNames place Derudeb at 1.2 km gives no population; no Sudanese city Kontur draws densely reaches the cap (Khartoum, Port Sudan, Nyala and El Obeid have no block), sources/sd.md section 6",2026-09-15 cb8b206e-sd
sd,34.30754,11.53782,capped,"Blue Nile, Bobuk",SD08,0.065,"3 hexes, 1 at the cap, 91,595 people, 6.5% of the state; nearest GeoNames place Bobuk at 4 km gives no population; no Sudanese city Kontur draws densely reaches the cap (Khartoum, Port Sudan, Nyala and El Obeid have no block), sources/sd.md section 6",2026-09-15 cb8b206e-sd
sd,23.29511,13.47092,capped,"North Darfur, Saraf Omra",SD02,0.057,"7 hexes, 3 at the cap, 222,984 people, 5.7% of the state; nearest GeoNames place Saraf Omra at 1.9 km gives no population; no Sudanese city Kontur draws densely reaches the cap (Khartoum, Port Sudan, Nyala and El Obeid have no block), sources/sd.md section 6",2026-09-15 cb8b206e-sd
sd,24.27534,12.51596,capped,"South Darfur, Kas",SD03,0.054,"9 hexes, 3 at the cap, 286,238 people, 5.4% of the state; 1.3 km from Kas, GeoNames population 55,255; the block holds 5.2x it; no Sudanese city Kontur draws densely reaches the cap (Khartoum, Port Sudan, Nyala and El Obeid have no block), sources/sd.md section 6",2026-09-15 cb8b206e-sd
sd,36.39050,18.33998,capped,"Red Sea, Haya",SD10,0.052,"5 hexes, 2 at the cap, 146,308 people, 5.2% of the state; nearest GeoNames place Haya at 0.7 km gives no population; no Sudanese city Kontur draws densely reaches the cap (Khartoum, Port Sudan, Nyala and El Obeid have no block), sources/sd.md section 6",2026-09-15 cb8b206e-sd
sd,36.83385,18.83475,capped,"Red Sea, Sinkat",SD10,0.038,"4 hexes, 2 at the cap, 108,748 people, 3.8% of the state; 0.7 km from Sinkat, GeoNames population 35,617; the block holds 3.1x it; no Sudanese city Kontur draws densely reaches the cap (Khartoum, Port Sudan, Nyala and El Obeid have no block), sources/sd.md section 6",2026-09-15 cb8b206e-sd
sd,36.44694,17.02914,capped,"Red Sea, Timerein",SD10,0.038,"3 hexes, 3 at the cap, 108,094 people, 3.8% of the state; nearest GeoNames place Timerein at 7 km gives no population; no Sudanese city Kontur draws densely reaches the cap (Khartoum, Port Sudan, Nyala and El Obeid have no block), sources/sd.md section 6",2026-09-15 cb8b206e-sd
sd,36.34800,15.74357,capped,"Kassala, Qaryat Makali",SD11,0.033,"3 hexes, 1 at the cap, 78,369 people, 3.3% of the state; nearest GeoNames place Qaryat Makali at 8.7 km gives no population; no Sudanese city Kontur draws densely reaches the cap (Khartoum, Port Sudan, Nyala and El Obeid have no block), sources/sd.md section 6",2026-09-15 cb8b206e-sd
sd,37.35669,18.69877,isolated,"Red Sea, Hillat Ashat",SD10,0.032,"3 hexes, 2 at the cap, 92,082 people, 3.2% of the state; nearest GeoNames place Hillat Ashat at 0.4 km gives no population; no Sudanese city Kontur draws densely reaches the cap (Khartoum, Port Sudan, Nyala and El Obeid have no block), sources/sd.md section 6; judged false like the other 25, but no populated hex lies within 3 km, so it is `isolated`: lowered to Red Sea state's median density outside the dense blocks",2026-09-15 cb8b206e-sd; isolated 2026-09-15 cb8b206e-fixes2
sd,38.36431,17.69640,capped,"Red Sea, Garora",SD10,0.032,"3 hexes, 1 at the cap, 89,554 people, 3.2% of the state; nearest GeoNames place Garora at 0.5 km gives no population; no Sudanese city Kontur draws densely reaches the cap (Khartoum, Port Sudan, Nyala and El Obeid have no block), sources/sd.md section 6",2026-09-15 cb8b206e-sd
sd,36.82910,18.95551,capped,"Red Sea, Jubayt",SD10,0.031,"4 hexes, 1 at the cap, 89,182 people, 3.1% of the state; 0.5 km from Jubayt, GeoNames population 30,856; the block holds 2.9x it; no Sudanese city Kontur draws densely reaches the cap (Khartoum, Port Sudan, Nyala and El Obeid have no block), sources/sd.md section 6",2026-09-15 cb8b206e-sd
sd,24.32042,11.50320,capped,"South Darfur, Idd al Ghanam",SD03,0.029,"6 hexes, 2 at the cap, 152,145 people, 2.9% of the state; nearest GeoNames place Idd al Ghanam at 3.9 km gives no population; no Sudanese city Kontur draws densely reaches the cap (Khartoum, Port Sudan, Nyala and El Obeid have no block), sources/sd.md section 6",2026-09-15 cb8b206e-sd
sd,36.67137,16.09292,capped,"Kassala, Masgid Qaryat Maman",SD11,0.028,"2 hexes, 1 at the cap, 65,482 people, 2.8% of the state; nearest GeoNames place Masgid Qaryat Maman at 20.7 km gives no population; no Sudanese city Kontur draws densely reaches the cap (Khartoum, Port Sudan, Nyala and El Obeid have no block), sources/sd.md section 6",2026-09-15 cb8b206e-sd
sd,24.58255,10.95449,capped,"South Darfur, Umm Danga",SD03,0.026,"5 hexes, 2 at the cap, 139,761 people, 2.6% of the state; nearest GeoNames place Umm Danga at 0.8 km gives no population; no Sudanese city Kontur draws densely reaches the cap (Khartoum, Port Sudan, Nyala and El Obeid have no block), sources/sd.md section 6",2026-09-15 cb8b206e-sd
sd,36.34541,17.04240,isolated,"Red Sea, Timerein",SD10,0.025,"2 hexes, 2 at the cap, 72,153 people, 2.5% of the state; nearest GeoNames place Timerein at 13.9 km gives no population; no Sudanese city Kontur draws densely reaches the cap (Khartoum, Port Sudan, Nyala and El Obeid have no block), sources/sd.md section 6; its only populated hex within 3 km is in another dense block, so as `capped` its ceiling came out at the cap and nothing was lowered; `isolated` instead",2026-09-15 cb8b206e-sd; isolated 2026-09-15 cb8b206e-fixes2
sd,36.47825,17.02308,isolated,"Red Sea, Timerein",SD10,0.025,"2 hexes, 2 at the cap, 72,035 people, 2.5% of the state; nearest GeoNames place Timerein at 7 km gives no population; no Sudanese city Kontur draws densely reaches the cap (Khartoum, Port Sudan, Nyala and El Obeid have no block), sources/sd.md section 6; judged false like the other 25, but no populated hex lies within 3 km, so it is `isolated`: lowered to Red Sea state's median density outside the dense blocks",2026-09-15 cb8b206e-sd; isolated 2026-09-15 cb8b206e-fixes2
sd,35.07785,17.66938,capped,"Red Sea, Al Qura",SD10,0.019,"2 hexes, 1 at the cap, 53,578 people, 1.9% of the state; nearest GeoNames place Al Qura at 17 km gives no population; no Sudanese city Kontur draws densely reaches the cap (Khartoum, Port Sudan, Nyala and El Obeid have no block), sources/sd.md section 6",2026-09-15 cb8b206e-sd
sd,36.13604,17.02976,capped,"Kassala, Ungwatiri",SD11,0.015,"1 hexes, 1 at the cap, 36,152 people, 1.5% of the state; nearest GeoNames place Ungwatiri at 15.7 km gives no population; no Sudanese city Kontur draws densely reaches the cap (Khartoum, Port Sudan, Nyala and El Obeid have no block), sources/sd.md section 6",2026-09-15 cb8b206e-sd
sd,36.12975,15.80974,capped,"Kassala, Aroma",SD11,0.015,"1 hexes, 1 at the cap, 35,645 people, 1.5% of the state; 0.9 km from Aroma, GeoNames population 12,708; the block holds 2.8x it; no Sudanese city Kontur draws densely reaches the cap (Khartoum, Port Sudan, Nyala and El Obeid have no block), sources/sd.md section 6",2026-09-15 cb8b206e-sd
sd,36.17422,17.04571,capped,"Red Sea, Ungwatiri",SD10,0.013,"1 hexes, 1 at the cap, 36,144 people, 1.3% of the state; nearest GeoNames place Ungwatiri at 19.5 km gives no population; no Sudanese city Kontur draws densely reaches the cap (Khartoum, Port Sudan, Nyala and El Obeid have no block), sources/sd.md section 6",2026-09-15 cb8b206e-sd
sd,37.56002,18.45884,capped,"Red Sea, Tokar",SD10,0.013,"1 hexes, 1 at the cap, 36,128 people, 1.3% of the state; nearest town with a GeoNames population is Tokar (37,051) at 18.2 km; no Sudanese city Kontur draws densely reaches the cap (Khartoum, Port Sudan, Nyala and El Obeid have no block), sources/sd.md section 6",2026-09-15 cb8b206e-sd
sd,36.35978,17.06923,isolated,"Red Sea, Timerein",SD10,0.013,"1 hexes, 1 at the cap, 36,082 people, 1.3% of the state; nearest GeoNames place Timerein at 14.9 km gives no population; no Sudanese city Kontur draws densely reaches the cap (Khartoum, Port Sudan, Nyala and El Obeid have no block), sources/sd.md section 6; its only populated hex within 3 km is in another dense block, so as `capped` its ceiling came out at the cap and nothing was lowered; `isolated` instead",2026-09-15 cb8b206e-sd; isolated 2026-09-15 cb8b206e-fixes2
sd,37.56868,18.19313,isolated,"Red Sea, Hillat Adam",SD10,0.013,"1 hexes, 1 at the cap, 36,029 people, 1.3% of the state; nearest GeoNames place Hillat Adam at 6.2 km gives no population; no Sudanese city Kontur draws densely reaches the cap (Khartoum, Port Sudan, Nyala and El Obeid have no block), sources/sd.md section 6; judged false like the other 25, but no populated hex lies within 3 km, so it is `isolated`: lowered to Red Sea state's median density outside the dense blocks",2026-09-15 cb8b206e-sd; isolated 2026-09-15 cb8b206e-fixes2
sd,23.88448,11.29828,capped,"South Darfur, Rahad al Bardi",SD03,0.012,"3 hexes, 1 at the cap, 66,166 people, 1.2% of the state; 0.2 km from Rahad al Bardi, GeoNames population 24,768; the block holds 2.7x it; no Sudanese city Kontur draws densely reaches the cap (Khartoum, Port Sudan, Nyala and El Obeid have no block), sources/sd.md section 6",2026-09-15 cb8b206e-sd
so,45.38143,2.06653,real,"Banadir, Mogadishu",SO22,0.840,"106 hexes, 74 at the cap, 3,072,354 people, 84.0% of the region; 5.3 km from Mogadishu's GeoNames point; 1.15x the 2026 planning estimate of the districts it touches (16 districts Karaan, 2,668,138); rule set before the review: real where a GeoNames place within 5 km holds a third of the block or the block is within 15 km of Mogadishu, and the block holds at most 1.5x the 2026 planning estimate of the districts it touches; capped otherwise; sources/so.md section 5",2026-09-15 cb8b206e-so
so,44.04312,9.57942,real,"Woqooyi Galbeed, Hargeysa",SO12,0.657,"60 hexes, 5 at the cap, 1,276,269 people, 65.7% of the region; GeoNames' largest place within 5 km is Hargeysa, population 477,876; the block holds 2.7x it; 1.17x the 2026 planning estimate of the districts it touches (SO1201 Hargeysa, 1,087,039); rule set before the review: real where a GeoNames place within 5 km holds a third of the block or the block is within 15 km of Mogadishu, and the block holds at most 1.5x the 2026 planning estimate of the districts it touches; capped otherwise; sources/so.md section 5",2026-09-15 cb8b206e-so
so,43.18956,9.94438,real,"Awdal, Borama",SO11,0.479,"11 hexes, 5 at the cap, 263,027 people, 47.9% of the region; GeoNames' largest place within 5 km is Borama, population 597,842; the block holds 0.4x it; 0.59x the 2026 planning estimate of the districts it touches (SO1101 Borama, 448,742); rule set before the review: real where a GeoNames place within 5 km holds a third of the block or the block is within 15 km of Mogadishu, and the block holds at most 1.5x the 2026 planning estimate of the districts it touches; capped otherwise; sources/so.md section 5",2026-09-15 cb8b206e-so
so,42.55024,-0.36122,real,"Lower Juba, Kismayo",SO28,0.417,"16 hexes, 4 at the cap, 392,862 people, 41.7% of the region; GeoNames' largest place within 5 km is Kismayo, population 234,852; the block holds 1.7x it; 1.05x the 2026 planning estimate of the districts it touches (SO2801 Kismaayo, 373,205); rule set before the review: real where a GeoNames place within 5 km holds a third of the block or the block is within 15 km of Mogadishu, and the block holds at most 1.5x the 2026 planning estimate of the districts it touches; capped otherwise; sources/so.md section 5",2026-09-15 cb8b206e-so
so,47.21397,9.92945,capped,"Sanaag, Ceel Afweyn",SO15,0.212,"5 hexes, 2 at the cap, 118,105 people, 21.2% of the region; nearest GeoNames place Ceel Afweyn at 0.4 km gives no population; 1.22x the 2026 planning estimate of the districts it touches (SO1502 Ceel Afweyn, 96,655); rule set before the review: real where a GeoNames place within 5 km holds a third of the block or the block is within 15 km of Mogadishu, and the block holds at most 1.5x the 2026 planning estimate of the districts it touches; capped otherwise; sources/so.md section 5",2026-09-15 cb8b206e-so
so,42.78005,0.49046,real,"Middle Juba, Jilib",SO27,0.200,"3 hexes, 1 at the cap, 85,728 people, 20.0% of the region; GeoNames' largest place within 5 km is Jilib, population 43,694; the block holds 2.0x it; 0.49x the 2026 planning estimate of the districts it touches (SO2702 Jilib, 175,639); rule set before the review: real where a GeoNames place within 5 km holds a third of the block or the block is within 15 km of Mogadishu, and the block holds at most 1.5x the 2026 planning estimate of the districts it touches; capped otherwise; sources/so.md section 5",2026-09-15 cb8b206e-so
so,47.37011,10.61613,real,"Sanaag, Ceerigaabo",SO15,0.175,"5 hexes, 1 at the cap, 97,324 people, 17.5% of the region; GeoNames' largest place within 5 km is Ceerigaabo, population 33,853; the block holds 2.9x it; 0.53x the 2026 planning estimate of the districts it touches (SO1501 Ceerigaabo, 184,402); rule set before the review: real where a GeoNames place within 5 km holds a third of the block or the block is within 15 km of Mogadishu, and the block holds at most 1.5x the 2026 planning estimate of the districts it touches; capped otherwise; sources/so.md section 5",2026-09-15 cb8b206e-so
so,45.49565,2.77878,capped,"Middle Shabelle, Jawhar",SO21,0.127,"7 hexes, 1 at the cap, 154,128 people, 12.7% of the region; GeoNames' largest place within 5 km is Jawhar, population 47,086; the block holds 3.3x it; 0.34x the 2026 planning estimate of the districts it touches (SO2101 Jowhar, 449,632); rule set before the review: real where a GeoNames place within 5 km holds a third of the block or the block is within 15 km of Mogadishu, and the block holds at most 1.5x the 2026 planning estimate of the districts it touches; capped otherwise; sources/so.md section 5",2026-09-15 cb8b206e-so
so,43.88741,4.11790,capped,"Bakool, Xuddur",SO25,0.119,"3 hexes, 1 at the cap, 65,943 people, 11.9% of the region; GeoNames' largest place within 5 km is Xuddur, population 12,500; the block holds 5.3x it; 0.55x the 2026 planning estimate of the districts it touches (SO2501 Xudur, 119,506); rule set before the review: real where a GeoNames place within 5 km holds a third of the block or the block is within 15 km of Mogadishu, and the block holds at most 1.5x the 2026 planning estimate of the districts it touches; capped otherwise; sources/so.md section 5",2026-09-15 cb8b206e-so
so,48.33499,10.71492,capped,"Sanaag, Badhan",SO15,0.111,"4 hexes, 1 at the cap, 61,827 people, 11.1% of the region; nearest GeoNames place Badhan at 0.1 km gives no population; 0.34x the 2026 planning estimate of the districts it touches (SO1501 Ceerigaabo, 184,402); rule set before the review: real where a GeoNames place within 5 km holds a third of the block or the block is within 15 km of Mogadishu, and the block holds at most 1.5x the 2026 planning estimate of the districts it touches; capped otherwise; sources/so.md section 5",2026-09-15 cb8b206e-so
so,42.75174,0.07344,real,"Lower Juba, Jamaame",SO28,0.102,"4 hexes, 2 at the cap, 96,389 people, 10.2% of the region; GeoNames' largest place within 5 km is Jamaame, population 42,270; the block holds 2.3x it; 0.21x the 2026 planning estimate of the districts it touches (SO2804 Jamaame, 456,411); rule set before the review: real where a GeoNames place within 5 km holds a third of the block or the block is within 15 km of Mogadishu, and the block holds at most 1.5x the 2026 planning estimate of the districts it touches; capped otherwise; sources/so.md section 5",2026-09-15 cb8b206e-so
so,44.77115,1.72024,real,"Lower Shabelle, Marka",SO23,0.094,"8 hexes, 4 at the cap, 234,111 people, 9.4% of the region; GeoNames' largest place within 5 km is Marka, population 230,100; the block holds 1.0x it; 0.77x the 2026 planning estimate of the districts it touches (SO2301 Marka, 303,624); rule set before the review: real where a GeoNames place within 5 km holds a third of the block or the block is within 15 km of Mogadishu, and the block holds at most 1.5x the 2026 planning estimate of the districts it touches; capped otherwise; sources/so.md section 5",2026-09-15 cb8b206e-so
so,44.89340,2.61996,capped,"Lower Shabelle, Wanlaweyn",SO23,0.093,"9 hexes, 3 at the cap, 233,253 people, 9.3% of the region; GeoNames' largest place within 5 km is Wanlaweyn, population 22,022; the block holds 10.6x it; 0.59x the 2026 planning estimate of the districts it touches (SO2307 Wanla Weyn, 392,676); rule set before the review: real where a GeoNames place within 5 km holds a third of the block or the block is within 15 km of Mogadishu, and the block holds at most 1.5x the 2026 planning estimate of the districts it touches; capped otherwise; sources/so.md section 5",2026-09-15 cb8b206e-so
so,45.33902,2.13557,real,"Lower Shabelle, Dabandoob",SO23,0.091,"7 hexes, 7 at the cap, 226,689 people, 9.1% of the region; 11.0 km from Mogadishu's GeoNames point; 0.39x the 2026 planning estimate of the districts it touches (SO2302 Afgooye, 580,290); rule set before the review: real where a GeoNames place within 5 km holds a third of the block or the block is within 15 km of Mogadishu, and the block holds at most 1.5x the 2026 planning estimate of the districts it touches; capped otherwise; sources/so.md section 5",2026-09-15 cb8b206e-so
so,44.07593,2.79727,capped,"Bay, Buurhakaba",SO24,0.089,"4 hexes, 1 at the cap, 99,284 people, 8.9% of the region; GeoNames' largest place within 5 km is Buurhakaba, population 27,792; the block holds 3.6x it; 0.47x the 2026 planning estimate of the districts it touches (SO2402 Buur Hakaba, 212,346); rule set before the review: real where a GeoNames place within 5 km holds a third of the block or the block is within 15 km of Mogadishu, and the block holds at most 1.5x the 2026 planning estimate of the districts it touches; capped otherwise; sources/so.md section 5",2026-09-15 cb8b206e-so
so,47.85341,4.65203,capped,"Mudug, Xarardheere",SO18,0.081,"3 hexes, 1 at the cap, 56,464 people, 8.1% of the region; GeoNames' largest place within 5 km is Xarardheere, population 2,018; the block holds 28.0x it; 0.66x the 2026 planning estimate of the districts it touches (SO1805 Xarardheere, 85,155); rule set before the review: real where a GeoNames place within 5 km holds a third of the block or the block is within 15 km of Mogadishu, and the block holds at most 1.5x the 2026 planning estimate of the districts it touches; capped otherwise; sources/so.md section 5",2026-09-15 cb8b206e-so
so,43.24494,3.80725,capped,"Bakool, Waajid",SO25,0.081,"2 hexes, 1 at the cap, 44,802 people, 8.1% of the region; GeoNames' largest place within 5 km is Waajid, population 6,666; the block holds 6.7x it; 0.48x the 2026 planning estimate of the districts it touches (SO2504 Waajid, 93,145); rule set before the review: real where a GeoNames place within 5 km holds a third of the block or the block is within 15 km of Mogadishu, and the block holds at most 1.5x the 2026 planning estimate of the districts it touches; capped otherwise; sources/so.md section 5",2026-09-15 cb8b206e-so
so,42.57337,1.25049,capped,"Middle Juba, Dujuuma",SO27,0.080,"1 hexes, 1 at the cap, 34,106 people, 8.0% of the region; GeoNames' largest place within 5 km is Dujuuma, population 2,432; the block holds 14.0x it; 0.22x the 2026 planning estimate of the districts it touches (SO2701 Bu'aale, 155,273); rule set before the review: real where a GeoNames place within 5 km holds a third of the block or the block is within 15 km of Mogadishu, and the block holds at most 1.5x the 2026 planning estimate of the districts it touches; capped otherwise; sources/so.md section 5",2026-09-15 cb8b206e-so
so,45.38457,2.36070,capped,"Middle Shabelle, Balcad",SO21,0.069,"4 hexes, 1 at the cap, 83,278 people, 6.9% of the region; nearest GeoNames place Balcad at 0.1 km gives no population; 0.20x the 2026 planning estimate of the districts it touches (SO2103 Balcad, 411,196); rule set before the review: real where a GeoNames place within 5 km holds a third of the block or the block is within 15 km of Mogadishu, and the block holds at most 1.5x the 2026 planning estimate of the districts it touches; capped otherwise; sources/so.md section 5",2026-09-15 cb8b206e-so
